"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2019-04-07 23:55:00,220.741226667,-1.485013333,18.901503333,4.657596667,15.592846667,31.492300000,7.121433333,22.375576667,31.359646667,10.382486667,13.118030000,23.173740000,26.836030000,15.730036667,-1.485013333
2019-04-07 23:50:00,225.770943333,-1.484856667,18.217703333,4.445973333,15.615483333,31.739336667,7.691606667,22.778693333,31.981283333,11.017466667,13.277103333,24.581263333,27.549563333,16.875466667,-1.484856667
2019-04-07 23:45:00,221.822090000,-1.477450000,17.895036667,4.567463333,15.896763333,31.617533333,7.496736667,22.714836667,32.480403333,11.482800000,13.230133333,24.460370000,23.351090000,16.628923333,-1.477450000
2019-04-07 23:40:00,218.035843333,-1.479293333,18.208253333,4.394450000,15.973713333,31.612913333,7.076286667,22.832316667,31.866160000,11.224783333,13.221666667,23.511186667,23.046483333,15.067630000,-1.479293333
2019-04-07 23:35:00,220.102580000,-1.478770000,18.632446667,4.145323333,15.843493333,31.464023333,7.202680000,22.678796667,31.891330000,11.315436667,13.285496667,24.619440000,23.272406667,15.751706667,-1.478770000
2019-04-07 23:30:00,224.442713333,-1.476626667,18.003030000,4.220420000,15.601726667,30.092613333,6.892816667,22.423156667,32.526106667,11.570956667,13.142466667,26.259920000,26.230270000,17.479230000,-1.476626667
2019-04-07 23:25:00,227.955733333,-1.471666667,19.651480000,5.960823333,17.442266667,30.344013333,7.619283333,22.561063333,32.357106667,11.452480000,13.154556667,25.922110000,24.748156667,16.742393333,-1.471666667
2019-04-07 23:20:00,223.235970000,-1.464156667,21.371756667,7.672316667,18.818156667,30.293596667,7.583936667,22.597766667,31.685543333,11.079356667,13.089340000,22.694026667,22.007366667,14.342806667,-1.464156667
2019-04-07 23:15:00,227.148996667,-1.461583333,18.321410000,5.025590000,15.847103333,30.390466667,7.479143333,22.669833333,30.279620000,9.979433333,13.047156667,27.306286667,27.303643333,19.499310000,-1.461583333
2019-04-07 23:10:00,219.563330000,-1.462786667,17.340430000,4.457133333,15.055220000,30.877920000,7.785676667,23.044356667,31.273433333,10.484696667,13.138533333,24.414343333,24.957330000,16.734256667,-1.462786667
2019-04-07 23:05:00,216.853213333,-1.462443333,17.051873333,3.992073333,15.116996667,30.164870000,7.094300000,22.488800000,31.331286667,10.538143333,13.109926667,24.705940000,24.482296667,16.776706667,-1.462443333
2019-04-07 23:00:00,214.219343333,-1.484086667,19.105443333,5.289250000,16.249686667,30.211660000,7.310493333,22.501560000,31.175463333,10.431733333,13.068283333,22.300953333,22.152680000,14.422136667,-1.484086667
2019-04-07 22:55:00,219.960410000,-1.495640000,19.067813333,5.386413333,16.416330000,30.191843333,7.789933333,22.416606667,30.314770000,10.089806667,12.987423333,23.093026667,23.491073333,18.715370000,-1.495640000
2019-04-07 22:50:00,215.818046667,-1.497853333,16.740806667,4.321683333,15.299673333,30.725203333,7.958413333,22.604013333,30.510376667,10.204423333,12.986933333,23.277220000,24.049843333,17.139456667,-1.497853333
2019-04-07 22:45:00,217.218856667,-1.503546667,16.503926667,3.941170000,14.885683333,31.383293333,7.938206667,22.788366667,31.235506667,10.600963333,13.031613333,23.946260000,24.443196667,16.520670000,-1.503546667
2019-04-07 22:40:00,212.975113333,-1.509936667,17.359680000,4.181310000,15.396080000,31.711580000,7.354703333,22.939073333,31.313060000,10.387950000,13.156733333,22.343863333,22.498943333,14.332136667,-1.509936667
2019-04-07 22:35:00,227.705706667,-1.505663333,20.622136667,7.723823333,18.401193333,32.226806667,7.242853333,23.225703333,31.818513333,10.658443333,13.298473333,23.580083333,23.246233333,15.661443333,-1.505663333
2019-04-07 22:30:00,233.710043333,-1.504703333,21.594196667,6.818566667,17.504606667,32.765640000,8.056096667,23.695716667,31.684733333,11.059196667,13.202620000,24.958323333,25.254573333,17.115773333,-1.504703333
2019-04-07 22:25:00,227.719416667,-1.507320000,20.628016667,4.921880000,15.971466667,32.273750000,7.903340000,23.131653333,32.565020000,11.499076667,13.255363333,24.219813333,24.880943333,16.469093333,-1.507320000
2019-04-07 22:20:00,221.260490000,-1.511483333,20.521713333,5.110956667,16.045573333,31.662003333,7.754806667,23.031026667,32.683620000,11.563603333,13.244590000,22.350886667,22.894286667,14.397423333,-1.511483333
2019-04-07 22:15:00,227.686030000,-1.512503333,18.783696667,4.365520000,15.907860000,30.594960000,7.061193333,22.730393333,32.564393333,11.459330000,13.232543333,26.180766667,26.458330000,18.347043333,-1.512503333
2019-04-07 22:10:00,250.007880000,-1.514460000,19.184753333,4.768763333,16.086256667,30.550323333,7.055563333,22.817193333,31.971280000,11.459890000,13.156570000,33.071436667,34.298143333,25.587706667,-1.514460000
2019-04-07 22:05:00,229.975033333,-1.511223333,20.497640000,6.117520000,16.630193333,30.898830000,7.510040000,22.917613333,31.683843333,11.519596667,13.327360000,25.533460000,26.215453333,17.123483333,-1.511223333
2019-04-07 22:00:00,217.149493333,-1.507246667,19.637350000,5.311840000,16.088660000,30.556513333,7.292820000,22.870853333,31.627750000,10.924193333,13.128310000,22.261330000,23.087623333,14.362250000,-1.507246667
2019-04-07 21:55:00,221.803400000,-1.506906667,19.682490000,5.436170000,16.466840000,31.063116667,8.023330000,22.888903333,31.446923333,10.767293333,13.103296667,23.306010000,23.955373333,15.663653333,-1.506906667
2019-04-07 21:50:00,229.875566667,-1.507713333,18.941020000,5.882800000,17.266243333,31.304506667,8.272580000,22.852183333,31.538876667,10.710170000,13.084746667,24.353633333,27.348570000,18.320236667,-1.507713333
2019-04-07 21:45:00,241.679653333,-1.503570000,21.564806667,8.716820000,19.785953333,31.335563333,7.850626667,22.946423333,30.447066667,10.362980000,13.070676667,25.315066667,30.057410000,20.226260000,-1.503570000
