"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2019-05-08 23:55:00,256.496590000,-1.501806667,21.871923333,7.747253333,18.417950000,33.933763333,8.606506667,24.832406667,32.325590000,11.521880000,15.708906667,27.559563333,31.311410000,22.659436667,-1.501806667
2019-05-08 23:50:00,248.631766667,-1.504640000,22.287980000,8.641190000,19.017513333,34.667790000,9.337816667,25.467003333,31.561976667,10.955720000,15.820476667,23.546246667,28.267893333,19.060160000,-1.504640000
2019-05-08 23:45:00,242.233380000,-1.522273333,21.433903333,8.370160000,19.730373333,34.823950000,9.581026667,25.441190000,31.583706667,10.810286667,15.835546667,21.988130000,25.741240000,16.893866667,-1.522273333
2019-05-08 23:40:00,251.526540000,-1.524486667,22.627083333,9.087380000,20.596463333,34.428883333,9.135496667,25.444736667,31.603773333,10.840436667,15.827180000,23.872226667,28.636756667,19.426123333,-1.524486667
2019-05-08 23:35:00,249.741370000,-1.525646667,21.747463333,8.674623333,19.787550000,34.685816667,9.081083333,25.449706667,31.579443333,10.837586667,15.797983333,23.876560000,28.542293333,19.681260000,-1.525646667
2019-05-08 23:30:00,244.050043333,-1.519340000,22.125550000,9.237923333,20.482883333,34.572040000,9.072030000,25.512093333,31.704776667,10.943360000,16.183386667,21.797486667,25.534383333,16.884130000,-1.519340000
2019-05-08 23:25:00,242.180890000,-1.519730000,22.042553333,8.331330000,19.675780000,34.061690000,8.976816667,25.456603333,31.961000000,11.261370000,15.922066667,21.345520000,25.926033333,17.220126667,-1.519730000
2019-05-08 23:20:00,250.193156667,-1.509840000,22.579190000,9.450526667,19.795500000,33.068220000,9.135760000,25.172273333,32.472260000,11.841466667,15.793276667,23.669406667,28.119756667,19.095520000,-1.509840000
2019-05-08 23:15:00,258.000086667,-1.489276667,22.849216667,9.394123333,19.984036667,33.064830000,9.303363333,25.070580000,32.443410000,11.849113333,15.782810000,25.707770000,29.975210000,22.575623333,-1.489276667
2019-05-08 23:10:00,251.502483333,-1.482573333,22.852426667,9.089913333,20.139970000,33.657403333,9.439336667,25.503630000,32.554140000,11.818166667,15.842320000,22.948243333,27.269493333,20.387440000,-1.482573333
2019-05-08 23:05:00,246.063040000,-1.479216667,23.496120000,9.578993333,20.351943333,33.333823333,8.782863333,25.499750000,32.545143333,11.830513333,15.839473333,22.190736667,25.879830000,16.733850000,-1.479216667
2019-05-08 23:00:00,255.732610000,-1.475733333,23.800640000,10.308136667,20.974453333,33.488426667,9.068290000,25.325333333,32.495430000,11.849510000,15.832543333,24.305470000,28.650833333,19.633543333,-1.475733333
2019-05-08 22:55:00,260.020786667,-1.499030000,24.024836667,10.574853333,21.220930000,33.391326667,8.692616667,25.436073333,32.684603333,11.765640000,15.889486667,25.909016667,30.003560000,20.427843333,-1.499030000
2019-05-08 22:50:00,246.329106667,-1.498523333,22.738786667,9.678346667,20.185346667,33.537580000,9.277340000,25.348883333,31.729836667,10.810273333,15.871320000,23.030616667,26.598270000,17.522506667,-1.498523333
2019-05-08 22:45:00,256.082950000,-1.497213333,23.070196667,10.250163333,20.940283333,33.337083333,9.153346667,25.312806667,31.520710000,10.768626667,15.868920000,26.468313333,29.553313333,19.839186667,-1.497213333
2019-05-08 22:40:00,257.221006667,-1.489340000,22.545540000,9.207143333,20.100263333,34.815756667,9.657373333,25.626603333,31.543850000,10.797430000,15.860780000,26.427613333,30.238960000,20.399693333,-1.489340000
2019-05-08 22:35:00,260.350380000,-1.490060000,24.174383333,10.132986667,20.672363333,34.734696667,8.938990000,25.592140000,31.639556667,10.798106667,15.840403333,27.247276667,29.942306667,20.637170000,-1.490060000
2019-05-08 22:30:00,247.276550000,-1.488540000,24.392456667,9.911283333,20.242113333,35.174553333,9.196660000,25.555260000,31.660100000,10.817213333,15.816213333,22.274163333,25.908000000,16.328533333,-1.488540000
2019-05-08 22:25:00,253.078796667,-1.526676667,25.116030000,10.035996667,20.115156667,34.939236667,9.181543333,25.608070000,32.319170000,11.585453333,15.845136667,23.587030000,27.696103333,17.049870000,-1.526676667
2019-05-08 22:20:00,258.712490000,-1.523956667,23.763636667,9.386606667,19.718873333,35.126703333,10.053603333,25.586253333,32.512570000,11.950823333,15.775573333,25.814656667,29.864453333,19.158736667,-1.523956667
2019-05-08 22:15:00,255.887530000,-1.521596667,21.174660000,7.151136667,18.537466667,35.054986667,10.102113333,25.977826667,32.382790000,11.918466667,15.759396667,26.344016667,31.144140000,20.340530000,-1.521596667
2019-05-08 22:10:00,248.651646667,-1.517543333,21.941643333,8.763790000,19.703333333,34.040040000,9.296703333,25.421096667,32.500693333,11.884860000,15.757263333,23.953773333,28.095856667,17.292593333,-1.517543333
2019-05-08 22:05:00,247.730090000,-1.516173333,22.818583333,9.496356667,20.328403333,33.553640000,9.114513333,25.090730000,32.615490000,11.900490000,15.725003333,23.028463333,27.158516667,16.899900000,-1.516173333
2019-05-08 22:00:00,254.719576667,-1.512663333,22.773350000,9.413813333,20.475146667,32.702126667,8.817640000,24.962220000,32.769616667,11.909653333,15.763836667,25.518393333,30.140000000,19.473780000,-1.512663333
2019-05-08 21:55:00,253.036633333,-1.508600000,21.561986667,8.530616667,19.526070000,32.619836667,9.066690000,25.061513333,32.502696667,11.690506667,15.981763333,25.506080000,30.939146667,20.049726667,-1.508600000
2019-05-08 21:50:00,245.466916667,-1.508916667,21.772033333,8.672090000,19.655970000,32.754280000,9.500790000,25.023316667,32.013563333,11.098323333,15.950890000,23.584443333,28.191313333,17.249903333,-1.508916667
2019-05-08 21:45:00,244.817580000,-1.511943333,21.124043333,8.435113333,19.598100000,32.568983333,9.501613333,24.963883333,32.086443333,11.187800000,15.942463333,23.703110000,28.059343333,17.646683333,-1.511943333
2019-05-08 21:40:00,259.115933333,-1.513076667,22.279290000,9.253260000,19.815453333,32.226186667,8.867043333,25.069123333,32.262233333,11.246990000,16.289060000,28.831163333,31.621413333,21.354716667,-1.513076667
2019-05-08 21:35:00,263.519996667,-1.512050000,22.657503333,9.838636667,19.884660000,32.461710000,9.049146667,24.963680000,32.428740000,11.510206667,16.436456667,28.806843333,34.277240000,21.205173333,-1.512050000
2019-05-08 21:30:00,273.921343333,-1.503846667,22.505480000,9.386793333,19.923346667,32.343683333,8.816356667,24.684526667,31.512690000,14.961193333,19.318356667,29.383973333,38.952866667,22.132076667,-1.503846667
2019-05-08 21:25:00,278.529633333,-1.504150000,22.940583333,9.621166667,20.177060000,32.820340000,8.541340000,24.097093333,31.569420000,15.475083333,19.369843333,32.221790000,37.639853333,24.056060000,-1.504150000
2019-05-08 21:20:00,272.650320000,-1.503770000,23.049123333,9.517150000,19.997573333,32.796540000,8.686836667,24.108633333,31.556883333,15.454320000,19.333606667,30.380846667,35.363680000,22.405126667,-1.503770000
2019-05-08 21:15:00,267.557156667,-1.506256667,22.536940000,9.442946667,19.877220000,33.175770000,9.488710000,24.097370000,30.785243333,14.687313333,18.857423333,28.883336667,34.042480000,21.682403333,-1.506256667
2019-05-08 21:10:00,261.484343333,-1.506703333,22.633273333,9.975690000,20.033860000,33.286930000,8.790350000,24.874380000,33.019973333,12.613376667,16.909516667,26.829793333,31.571176667,20.946023333,-1.506703333
2019-05-08 21:05:00,248.995700000,-1.502426667,22.090530000,10.298986667,20.049703333,33.832186667,9.207060000,25.155636667,32.733353333,12.127280000,15.917530000,22.546300000,28.375683333,16.661450000,-1.502426667
2019-05-08 21:00:00,250.458393333,-1.503366667,22.684673333,10.217870000,19.621353333,33.423896667,9.197413333,25.264176667,31.340916667,11.256353333,15.786683333,24.426850000,29.329503333,17.908703333,-1.503366667
2019-05-08 20:55:00,251.688336667,-1.507183333,23.718556667,10.666793333,19.608946667,32.341020000,9.320833333,24.874043333,30.702816667,10.637410000,15.723853333,24.978340000,29.540793333,19.574930000,-1.507183333
2019-05-08 20:50:00,252.879456667,-1.500313333,25.168290000,11.491310000,20.644476667,31.867333333,9.271310000,24.900783333,30.738766667,10.652786667,15.735000000,24.805783333,28.985393333,18.618223333,-1.500313333
2019-05-08 20:45:00,252.535840000,-1.499446667,25.099760000,10.730163333,20.173220000,32.970236667,9.719013333,25.514263333,31.589600000,11.350393333,15.995910000,23.270680000,28.023046667,18.099553333,-1.499446667
2019-05-08 20:40:00,275.865300000,-1.493283333,23.718640000,10.481186667,20.283186667,32.776300000,9.045310000,25.516803333,32.899873333,12.120546667,16.728026667,30.269346667,35.500796667,26.525283333,-1.493283333
2019-05-08 20:35:00,249.108110000,-1.498886667,21.219446667,8.237223333,18.625020000,33.255070000,9.767333333,26.104216667,31.935246667,11.754076667,15.880570000,24.610700000,28.144420000,19.574786667,-1.498886667
2019-05-08 20:30:00,252.357986667,-1.501010000,23.426180000,11.035383333,20.532983333,32.593963333,8.940886667,25.453713333,31.813013333,12.095413333,16.117263333,23.850583333,27.610806667,18.887796667,-1.501010000
2019-05-08 20:25:00,245.584823333,-1.507896667,22.927716667,10.416973333,20.150570000,32.508656667,9.606326667,24.810216667,32.367233333,12.316816667,15.747920000,22.240266667,25.945043333,16.547083333,-1.507896667
2019-05-08 20:20:00,292.433090000,-1.523386667,22.680443333,10.074250000,20.512306667,32.121493333,9.639516667,24.707556667,46.301000000,26.691880000,31.569136667,22.931223333,27.155480000,18.048803333,-1.523386667
2019-05-08 20:15:00,333.409966667,-1.520676667,20.218256667,7.724580000,18.660656667,33.602950000,10.263990000,25.179950000,57.621496667,39.709443333,43.901096667,25.857026667,30.143633333,20.526886667,-1.520676667
2019-05-08 20:10:00,395.138266667,-1.407013333,20.549730000,7.461786667,19.223996667,32.188053333,8.807680000,24.074296667,77.848710000,62.367850000,68.646446667,24.410626667,29.364260000,20.194830000,-1.407013333
2019-05-08 20:05:00,304.865066667,-0.906923333,20.765136667,6.998850000,18.976576667,32.175746667,8.578946667,23.646463333,51.033460000,33.097863333,37.881946667,24.389580000,28.028610000,19.291886667,-0.906923333
2019-05-08 20:00:00,312.016643333,-0.703900000,22.011073333,7.951093333,19.513790000,31.984320000,7.891486667,24.177923333,51.105236667,33.100013333,37.985820000,24.717686667,29.212180000,22.366020000,-0.703900000
2019-05-08 19:55:00,333.761733333,-0.750786667,22.962383333,10.194996667,21.566616667,33.231896667,10.619820000,26.345846667,52.349510000,35.244970000,39.362456667,26.234233333,30.887073333,24.761930000,-0.750786667
2019-05-08 19:50:00,323.292470000,-0.435410000,23.202833333,9.878833333,21.444980000,33.160560000,11.177196667,26.540296667,50.502886667,33.865213333,37.935460000,25.451923333,29.630393333,20.501893333,-0.435410000
2019-05-08 19:45:00,328.665443333,0.009803333,23.312563333,9.882106667,21.461070000,34.602730000,13.667650000,28.639186667,50.590723333,33.857363333,38.173200000,24.921850000,29.322253333,20.234746667,0.009803333
2019-05-08 19:40:00,334.680920000,0.795816667,22.789890000,9.296846667,21.206290000,35.920470000,14.848620000,30.286703333,51.181883333,34.571946667,39.585726667,25.869893333,28.986816667,20.135833333,0.795816667
2019-05-08 19:35:00,343.855393333,5.197910000,21.891096667,9.329043333,21.013193333,35.673690000,14.222816667,29.710036667,50.456180000,34.059370000,38.698430000,29.945843333,33.973346667,24.882346667,5.197910000
