"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2018-10-17 23:55:00,254.342123333,-1.728863333,21.878523333,7.914146667,19.441620000,38.334883333,12.237496667,25.481786667,28.004156667,24.622483333,17.589083333,24.587596667,20.647233333,13.603113333,-1.728863333
2018-10-17 23:50:00,258.089146667,-1.726263333,21.235053333,7.636243333,19.472410000,38.949003333,12.887446667,25.760990000,29.429686667,24.874230000,18.806403333,24.673110000,20.783216667,13.581353333,-1.726263333
2018-10-17 23:45:00,260.368043333,-1.728456667,20.773223333,7.583513333,19.556336667,38.817623333,13.400390000,26.010930000,27.432486667,23.694340000,16.744010000,26.771843333,23.276766667,16.306580000,-1.728456667
2018-10-17 23:40:00,267.886586667,-1.726493333,20.680196667,7.729823333,19.539113333,38.762750000,12.745130000,25.936540000,26.530706667,23.963106667,15.997226667,30.140093333,26.492960000,19.368940000,-1.726493333
2018-10-17 23:35:00,271.970200000,-1.726700000,20.767580000,7.962793333,19.774790000,38.812130000,12.470503333,25.705853333,27.486253333,24.634490000,17.893476667,30.289643333,26.664323333,19.508363333,-1.726700000
2018-10-17 23:30:00,258.670053333,-1.724513333,19.720150000,6.738416667,18.219083333,37.766973333,12.228490000,25.395730000,27.487406667,24.696183333,17.826063333,27.524340000,24.238756667,16.828460000,-1.724513333
2018-10-17 23:25:00,245.779820000,-1.721190000,20.483546667,6.437446667,18.319350000,36.878623333,12.350090000,25.598716667,25.417840000,23.042860000,16.162850000,25.031530000,21.731050000,14.325916667,-1.721190000
2018-10-17 23:20:00,253.687976667,-1.726066667,20.730983333,6.577446667,18.427626667,36.594963333,12.748363333,25.473460000,27.173833333,24.476990000,17.492516667,24.529560000,24.078233333,15.384000000,-1.726066667
2018-10-17 23:15:00,270.177093333,-1.723696667,21.837450000,7.563183333,19.484623333,36.608820000,12.641640000,25.260943333,27.405700000,24.565003333,17.865100000,28.648730000,28.476823333,19.819076667,-1.723696667
2018-10-17 23:10:00,261.295786667,-1.725490000,21.824496667,7.808330000,19.368473333,37.485506667,13.425583333,26.596003333,25.284826667,22.939136667,15.644700000,27.452073333,26.093510000,17.373146667,-1.725490000
