"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2018-09-30 23:55:00,376.395000000,-1.927383333,47.199136667,39.945993333,49.190796667,50.537883333,28.848736667,43.719623333,28.838946667,11.761556667,16.317676667,20.550036667,21.791986667,17.692626667,-1.927383333
2018-09-30 23:50:00,370.514026667,-1.918623333,48.338960000,41.513206667,49.396016667,45.357583333,23.440673333,37.788323333,28.407456667,11.753110000,16.450040000,22.089803333,22.985923333,22.992930000,-1.918623333
2018-09-30 23:45:00,361.422080000,-1.928306667,43.599340000,36.243443333,44.066900000,46.045626667,23.181756667,38.109346667,28.729226667,11.719833333,16.651500000,25.132063333,25.382746667,22.560296667,-1.928306667
2018-09-30 23:40:00,290.153740000,-1.933983333,28.217300000,15.147823333,25.341870000,45.964433333,23.399156667,38.148983333,28.222626667,11.158856667,16.670926667,20.292666667,20.592036667,16.997060000,-1.933983333
2018-09-30 23:35:00,281.882936667,-1.925510000,26.106360000,11.298973333,21.774066667,46.158753333,23.957910000,38.248400000,28.743660000,11.042296667,16.831016667,21.058486667,19.559420000,17.103593333,-1.925510000
2018-09-30 23:30:00,321.730823333,-1.921820000,26.332936667,12.101500000,21.768340000,58.735623333,37.404706667,52.350063333,27.909660000,10.765170000,16.696313333,22.062153333,19.200023333,16.404333333,-1.921820000
2018-09-30 23:25:00,321.179063333,-1.917763333,26.937343333,12.394353333,22.207880000,59.000883333,37.395363333,52.774646667,27.697343333,10.725050000,16.656496667,20.574090000,18.663186667,16.152426667,-1.917763333
2018-09-30 23:20:00,321.376726667,-1.922336667,26.666420000,11.959443333,21.636723333,59.014280000,37.798993333,52.845286667,28.725293333,11.479720000,16.748140000,21.749103333,17.776006667,14.977316667,-1.922336667
2018-09-30 23:15:00,383.213803333,-1.961586667,41.419276667,33.735660000,40.930250000,58.706256667,37.524530000,52.641043333,28.812400000,11.840143333,16.626186667,23.680670000,20.041783333,17.255603333,-1.961586667
2018-09-30 23:10:00,395.142493333,-1.953503333,43.397560000,36.039330000,43.130646667,58.661596667,37.861493333,52.690580000,28.779283333,11.806336667,16.691470000,25.678263333,21.903726667,18.502206667,-1.953503333
2018-09-30 23:05:00,389.495890000,-1.948090000,44.105746667,36.218763333,44.623110000,58.797433333,38.323166667,52.628456667,28.836756667,11.754693333,16.550263333,22.595513333,18.862306667,16.199680000,-1.948090000
2018-09-30 23:00:00,392.322623333,-1.943790000,45.724543333,38.206406667,45.906796667,59.069856667,38.620633333,53.136273333,29.571043333,12.043323333,16.678923333,20.341173333,18.273630000,14.750020000,-1.943790000
2018-09-30 22:55:00,402.990826667,-1.942703333,47.955536667,40.347386667,48.066666667,58.753616667,37.913386667,52.827366667,29.221640000,12.300686667,17.008446667,21.232493333,21.863613333,15.499986667,-1.942703333
2018-09-30 22:50:00,401.925620000,-1.939853333,46.286606667,38.473766667,46.639240000,59.983250000,38.928383333,52.592680000,28.654190000,13.548223333,16.962216667,23.094743333,21.834253333,14.928066667,-1.939853333
2018-09-30 22:45:00,404.855423333,-1.936110000,45.288823333,38.386940000,46.440780000,61.980416667,40.192660000,51.877056667,27.422093333,16.062320000,17.010003333,24.836906667,20.937663333,14.419760000,-1.936110000
