"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2018-08-24 23:55:00,351.553780000,-1.737626667,47.817546667,40.975536667,49.267740000,44.019550000,23.107306667,35.633776667,23.257956667,10.558920000,16.316566667,23.335036667,22.099400000,15.164443333,-1.737626667
2018-08-24 23:50:00,367.259050000,-1.735330000,46.372813333,40.784943333,48.361393333,43.704956667,22.461580000,35.116133333,26.306890000,12.835463333,18.089000000,27.718873333,26.380680000,19.126323333,-1.735330000
2018-08-24 23:45:00,362.387130000,-1.731070000,47.378346667,40.432153333,49.153026667,42.985680000,21.718843333,34.320276667,25.919636667,12.838326667,17.283680000,26.495706667,25.784766667,18.076686667,-1.731070000
2018-08-24 23:40:00,358.375790000,-1.726000000,47.460740000,41.278330000,49.256880000,43.859376667,22.755010000,35.561816667,26.383350000,13.257343333,17.739773333,23.868243333,21.880016667,15.074910000,-1.726000000
2018-08-24 23:35:00,363.468550000,-1.725773333,46.008500000,39.877193333,47.945110000,45.227803333,23.592396667,35.787603333,26.446850000,13.006066667,17.479713333,26.542616667,24.130636667,17.424060000,-1.725773333
2018-08-24 23:30:00,349.146106667,-1.722993333,45.635696667,39.248883333,47.380286667,43.436753333,21.327726667,33.796343333,24.994003333,12.603883333,17.427600000,24.734673333,22.512380000,16.047876667,-1.722993333
2018-08-24 23:25:00,362.457456667,-1.724313333,45.900186667,40.134910000,47.670373333,45.575943333,23.822533333,35.887526667,24.724736667,12.541890000,17.205333333,26.755796667,24.615200000,17.623026667,-1.724313333
2018-08-24 23:20:00,363.294390000,-1.727253333,48.685126667,40.965646667,48.435900000,45.046746667,23.012236667,35.949143333,24.040673333,11.419046667,17.434056667,26.085310000,25.059106667,17.161396667,-1.727253333
2018-08-24 23:15:00,351.221680000,-1.723296667,48.039410000,41.439946667,48.628996667,43.238003333,21.026126667,33.611776667,25.615483333,11.839893333,17.678093333,23.173093333,22.171483333,14.759373333,-1.723296667
2018-08-24 23:10:00,364.481230000,-1.714610000,49.755973333,42.181753333,50.006350000,45.380096667,23.532380000,36.095386667,24.813276667,11.761993333,17.343503333,24.313783333,23.472180000,15.824553333,-1.714610000
