"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2018-11-13 23:55:00,252.487666667,-1.709203333,22.547356667,9.376790000,22.058216667,34.393706667,10.710876667,24.669923333,30.485120000,14.969056667,21.527060000,24.648186667,20.089456667,17.011916667,-1.709203333
2018-11-13 23:50:00,261.942043333,-1.700136667,22.575916667,9.245210000,21.107066667,34.651303333,11.013986667,25.138050000,31.809020000,16.408366667,23.788970000,26.180706667,21.576746667,18.446700000,-1.700136667
2018-11-13 23:45:00,264.658176667,-1.702580000,22.547926667,9.495390000,21.117043333,34.368723333,11.059143333,24.838496667,30.994540000,15.757786667,22.172313333,26.089280000,26.795000000,19.422533333,-1.702580000
2018-11-13 23:40:00,268.396070000,-1.700930000,24.738460000,10.866500000,22.972456667,34.711663333,11.164006667,25.248066667,30.509426667,15.423190000,22.925700000,24.222290000,27.288423333,18.325886667,-1.700930000
2018-11-13 23:35:00,254.965250000,-1.695860000,22.602966667,9.449090000,21.112733333,34.121126667,11.055690000,24.741440000,29.994190000,14.989160000,22.912353333,23.756056667,22.304373333,17.926070000,-1.695860000
2018-11-13 23:30:00,270.259106667,-1.690213333,21.465700000,9.070760000,20.962790000,33.155620000,11.270626667,24.708670000,30.037996667,14.987663333,22.756723333,29.655390000,28.724736667,23.462430000,-1.690213333
2018-11-13 23:25:00,260.428326667,-1.691300000,21.210170000,9.476413333,21.788803333,33.326413333,11.159673333,24.912193333,30.496843333,15.187283333,22.716050000,25.542523333,24.404410000,20.207550000,-1.691300000
2018-11-13 23:20:00,259.000796667,-1.689883333,22.280333333,10.027453333,22.419826667,33.042816667,10.458076667,24.477366667,30.219113333,14.676243333,22.492056667,25.257430000,24.044033333,19.606046667,-1.689883333
2018-11-13 23:15:00,255.757540000,-1.697013333,21.991616667,9.464946667,21.367953333,33.378550000,10.871136667,24.881833333,30.501050000,15.098806667,23.192640000,24.107540000,22.573380000,18.328086667,-1.697013333
2018-11-13 23:10:00,252.362453333,-1.699150000,21.166063333,8.673133333,21.076866667,33.050336667,10.243576667,24.546280000,30.399590000,15.028630000,22.482730000,24.379920000,22.695243333,18.620083333,-1.699150000
2018-11-13 23:05:00,259.022096667,-1.713313333,21.863003333,9.095950000,22.321063333,33.422283333,11.267366667,24.986513333,30.961270000,15.340790000,22.896240000,24.383086667,23.688280000,18.796250000,-1.713313333
2018-11-13 23:00:00,267.555353333,-1.710386667,22.826803333,10.582386667,22.483146667,33.664853333,10.838050000,24.519326667,31.177636667,16.263723333,22.985086667,26.229846667,25.444876667,20.539616667,-1.710386667
2018-11-13 22:55:00,279.639913333,-1.707823333,23.629580000,10.546720000,22.235593333,34.854826667,11.064070000,25.170666667,31.861800000,16.842446667,22.697386667,29.411403333,28.273343333,23.052076667,-1.707823333
2018-11-13 22:50:00,267.307310000,-1.707736667,22.718956667,9.645106667,21.367443333,34.550136667,10.844026667,24.910693333,31.268800000,17.169950000,22.840463333,25.975036667,25.784416667,20.232280000,-1.707736667
2018-11-13 22:45:00,271.110466667,-1.709103333,22.685306667,9.655650000,21.703093333,34.661256667,11.095643333,25.164493333,31.474996667,17.228080000,23.153180000,26.115393333,27.964413333,20.208960000,-1.709103333
2018-11-13 22:40:00,271.142756667,-1.709583333,22.419846667,9.521300000,21.217086667,34.456310000,11.029213333,25.228603333,31.546890000,16.873226667,22.733140000,26.705043333,28.522216667,20.889880000,-1.709583333
2018-11-13 22:35:00,283.273080000,-1.706713333,23.295813333,10.771603333,22.787026667,34.712843333,11.758033333,25.505300000,30.886846667,16.475620000,22.863646667,29.808836667,30.301193333,24.106316667,-1.706713333
2018-11-13 22:30:00,280.203906667,-1.707020000,21.987276667,9.865470000,22.179573333,34.419013333,11.726663333,25.339603333,30.932620000,15.394943333,23.452550000,29.776360000,31.408303333,23.721530000,-1.707020000
2018-11-13 22:25:00,260.503130000,-1.702390000,20.447620000,8.019996667,20.592246667,33.046726667,10.693953333,24.523973333,30.049456667,15.469813333,22.458393333,27.552420000,26.996953333,20.651576667,-1.702390000
2018-11-13 22:20:00,264.605050000,-1.698640000,20.390553333,7.780473333,20.116643333,33.190590000,11.003410000,24.800863333,30.216753333,15.245130000,22.625976667,28.544100000,28.715256667,21.975300000,-1.698640000
2018-11-13 22:15:00,270.615276667,-1.699606667,20.669776667,8.651163333,20.983966667,33.046493333,10.541716667,24.575530000,30.697343333,15.860796667,23.255226667,29.096423333,29.788483333,23.448356667,-1.699606667
2018-11-13 22:10:00,282.395823333,-1.698883333,23.881046667,11.589023333,24.252180000,33.386560000,10.843070000,24.774353333,30.443676667,16.037186667,22.646846667,30.315290000,30.081086667,24.145503333,-1.698883333
2018-11-13 22:05:00,266.150673333,-1.702190000,22.374036667,9.943560000,21.604213333,33.535663333,11.293553333,24.831020000,30.781756667,15.263743333,22.104296667,27.243930000,26.523486667,20.651413333,-1.702190000
2018-11-13 22:00:00,277.493840000,-1.706330000,25.295653333,12.484140000,23.735406667,33.446573333,11.327416667,24.803480000,31.004406667,15.688173333,22.766226667,28.273373333,27.773770000,20.895220000,-1.706330000
2018-11-13 21:55:00,309.599866667,-1.706880000,28.146790000,15.991760000,27.461303333,37.202350000,15.620993333,28.005923333,34.132996667,19.379386667,25.262540000,29.191400000,27.488616667,21.715806667,-1.706880000
2018-11-13 21:50:00,315.994163333,-1.702350000,28.147016667,16.786746667,27.701410000,37.078760000,14.969336667,27.517030000,34.051633333,19.270290000,24.636933333,31.326170000,30.460123333,24.048713333,-1.702350000
2018-11-13 21:45:00,339.589526667,-1.701486667,29.016136667,17.863613333,28.192836667,37.306493333,15.297420000,27.885363333,34.629343333,19.611540000,25.954920000,36.855490000,36.812430000,30.163940000,-1.701486667
